airbnb_listing_id,n_dates,coverage
22810332,65,0.6190476190476191
22901902,92,0.8761904761904762
23023313,68,0.6476190476190476
23068512,19,0.18095238095238095
23078040,54,0.5142857142857142
23108026,74,0.7047619047619048
23263225,11,0.10476190476190476
23299596,36,0.34285714285714286
23343001,71,0.6761904761904762
23390752,78,0.7428571428571429
23779860,32,0.3047619047619048
23787711,90,0.8571428571428571
24171739,31,0.29523809523809524
25104649,57,0.5428571428571428
25165914,87,0.8285714285714286
25918412,64,0.6095238095238096
26026295,27,0.2571428571428571
26197944,75,0.7142857142857143
26334990,67,0.638095238095238
26570136,82,0.780952380952381
26708551,72,0.6857142857142857
26839303,52,0.49523809523809526
26895628,40,0.38095238095238093
26898492,38,0.3619047619047619
27022969,60,0.5714285714285714
27201205,37,0.3523809523809524
27338096,89,0.8476190476190476
27704027,84,0.8
27718978,24,0.22857142857142856
27910707,81,0.7714285714285715
27981528,61,0.580952380952381
28071688,41,0.3904761904761905
28075525,36,0.34285714285714286
28155872,25,0.23809523809523808
28160414,61,0.580952380952381
28366360,67,0.638095238095238
28410850,76,0.7238095238095238
28429135,63,0.6
28932247,50,0.47619047619047616
28987242,28,0.26666666666666666
29008738,56,0.5333333333333333
29114516,36,0.34285714285714286
29145061,56,0.5333333333333333
29302246,58,0.5523809523809524
29341170,46,0.4380952380952381
29739100,89,0.8476190476190476
29761442,11,0.10476190476190476
29800671,75,0.7142857142857143
29870406,86,0.819047619047619
30032994,57,0.5428571428571428
30085847,86,0.819047619047619
30098696,10,0.09523809523809523
30105402,91,0.8666666666666667
30153564,55,0.5238095238095238
30209117,42,0.4
30271062,76,0.7238095238095238
30332330,56,0.5333333333333333
30354217,27,0.2571428571428571
30402651,63,0.6
30491733,63,0.6
30493854,41,0.3904761904761905
30494198,89,0.8476190476190476
30519162,91,0.8666666666666667
30560948,85,0.8095238095238095
30617740,71,0.6761904761904762
30756202,76,0.7238095238095238
30785010,58,0.5523809523809524
30795921,22,0.20952380952380953
30910938,56,0.5333333333333333
30922946,71,0.6761904761904762
31055581,69,0.6571428571428571
31059537,78,0.7428571428571429
31069380,21,0.2
31084342,53,0.5047619047619047
31115702,46,0.4380952380952381
31141252,38,0.3619047619047619
31167122,85,0.8095238095238095
31169655,65,0.6190476190476191
31278015,56,0.5333333333333333
31284638,40,0.38095238095238093
31380471,78,0.7428571428571429
31397917,15,0.14285714285714285
31430342,59,0.5619047619047619
31441134,103,0.9809523809523809
31454750,59,0.5619047619047619
31511990,86,0.819047619047619
31530689,90,0.8571428571428571
31543199,44,0.41904761904761906
31560419,47,0.44761904761904764
31682871,41,0.3904761904761905
31859744,77,0.7333333333333333
31945494,70,0.6666666666666666
31972121,59,0.5619047619047619
32134287,84,0.8
32185033,41,0.3904761904761905
32234626,38,0.3619047619047619
32371924,33,0.3142857142857143
32443120,13,0.12380952380952381
32486859,51,0.4857142857142857
32585103,57,0.5428571428571428
32592683,56,0.5333333333333333
32600458,53,0.5047619047619047
32606991,77,0.7333333333333333
32697747,34,0.3238095238095238
32766950,48,0.45714285714285713
32990586,85,0.8095238095238095
33336758,36,0.34285714285714286
34218930,58,0.5523809523809524
34540951,70,0.6666666666666666
